passer_id,passer,n,adot
00-0035704,D.Lock,110,10.063636363636364
00-0029263,R.Wilson,400,9.8875
00-0036945,J.Fields,268,9.869402985074627
00-0034796,L.Jackson,378,9.34920634920635
00-0036389,J.Hurts,473,9.190274841437633
00-0034855,B.Mayfield,416,8.795673076923077
00-0026498,M.Stafford,740,8.508108108108107
00-0031503,J.Winston,161,8.322981366459627
00-0029604,K.Cousins,556,8.224820143884893
00-0034857,J.Allen,708,8.224576271186441
00-0031280,D.Carr,676,8.128698224852071
00-0031237,T.Bridgewater,426,8.03755868544601
00-0035228,K.Murray,515,7.965048543689321
00-0019596,T.Brady,808,7.920792079207921
00-0036971,T.Lawrence,599,7.909849749582638
00-0036972,M.Jones,557,7.901256732495511
00-0033077,D.Prescott,638,7.838557993730408
00-0036442,J.Burrow,659,7.748103186646434
00-0023459,A.Rodgers,556,7.741007194244604
00-0031800,T.Heinicke,491,7.696537678207739
00-0032950,C.Wentz,516,7.62984496124031
00-0029701,R.Tannehill,554,7.608303249097473
00-0035993,T.Huntley,185,7.605405405405405
00-0033119,J.Brissett,224,7.602678571428571
00-0037013,Z.Wilson,382,7.552356020942408
00-0036355,J.Herbert,671,7.538002980625931
00-0033357,T.Hill,132,7.507575757575758
00-0028118,T.Taylor,149,7.429530201342282
00-0030520,M.Glennon,164,7.378048780487805
00-0035710,D.Jones,360,7.333333333333333
00-0036898,D.Mills,392,7.3188775510204085
00-0031345,J.Garoppolo,511,7.305283757338552
00-0034869,S.Darnold,405,7.239506172839506
00-0026143,M.Ryan,559,7.161001788908766
00-0032156,T.Siemian,187,7.106951871657754
00-0033873,P.Mahomes,780,7.0807692307692305
00-0036212,T.Tagovailoa,387,7.0671834625323
00-0027973,A.Dalton,235,6.987234042553191
00-0027939,C.Newton,126,6.968253968253968
00-0022924,B.Roethlisberger,647,6.783616692426584
00-0033106,J.Goff,489,6.441717791411043
00-0034401,M.White,132,5.916666666666667
